Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Boot_ESP_DevkitC1,Boot-ESP-DevkitC,SW_PUSH_6mm_H13mm,201.22,-79.03,0.0,bottom
Boot_ESP_ETH1,Boot-ESP-ETH,SW_PUSH_6mm_H13mm,211.53,-79.03,0.0,bottom
DCDC-24V5V1,DCDC-24V5V,DCDC,190.615,-64.93,0.0,top
DCDC-24V9V1,DCDC-24V9V,DCDC,222.905,-64.94,0.0,top
Endlage1,Endlage,Liebler_Connector,107.95,-53.38,0.0,bottom
Hall-Sensor1,Hall-Sensor,Liebler_Connector,85.09,-53.38,0.0,bottom
JP1,TOF_SDA_SEL,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm_NumberLabels,88.93,-72.39,0.0,top
JP2,TOF_SCL_SEL,SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm_NumberLabels,81.31,-72.39,0.0,top
LCDModuleST7735,Conn_01x07_Pin,TFT-Display,89.535,-40.005,0.0,top
LED1,Status-ESP32-ETH,LSY876P2S11,144.8,-40.55,90.0,top
LED2,Status_ESP32-DevkitC,LSY876P2S11,126.6,-40.55,90.0,top
MotorDriver1,MotorDriver,"PhoenixContact_MCV_1,5_8-G-3.5_1x08_P3.50mm_Vertical",206.19,-86.995,180.0,top
R1,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,209.0,-52.4,90.0,top
R2,6k8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,209.0,-48.0,90.0,top
R3,51k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,232.0,-52.4,90.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,232.0,-48.0,90.0,top
R5,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.3,-52.3,90.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.29,-47.85,90.0,top
R7,62R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.9,-40.6,180.0,top
R8,62R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.9,-40.6,180.0,top
Schrittmotor1,Schrittmotor,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",181.97,-86.995,180.0,top
Schrittmotor2,Schrittmotor,Liebler_Connector,179.07,-49.49,0.0,bottom
ServoBalancer1,Servo-Balancer,Liebler_Connector,224.475,-49.53,0.0,bottom
ServoVereinzler1,Servo-Vereinzler,Liebler_Connector,201.85,-49.49,0.0,bottom
Spannungsversorgung1,Spannungsversorgung,"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",227.07,-86.995,180.0,top
ToF-Vereinzler1,ToF-Vereinzler,Liebler_Connector,85.09,-80.01,0.0,bottom
ToFBalancer1,ToF-Balancer,Liebler_Connector,107.95,-80.01,0.0,bottom
U1,ESP32-S3-ETH,ESP32-S3-ETH,143.51,-53.32816,90.0,top
U2,ESP32-DevKitC,ESP32-DevKitC,142.24,-78.74,-90.0,top
